"Gene"
"PARD6G"
"SREBF1"
"SLC6A15"
"SESN3"
"LOC729839"
"PTGER3"
"C1orf115"
"PRSS3"
"RARRES2"
"SULF1"
"EVI2B"
"THBS1"
"APCDD1L"
"C8orf34"
"PDE4B"
"CES8"
"SHANK3"
"LTBP1"
"C10orf54"
"WNT5A"
"ADAM23"
"SLC2A9"
"LOC390557"
"FAT1"
"SLC31A2"
"LDOC1"
"PAX8"
"NEDD4L"
"LOC643384"
"PPARG"
"ODZ3"
"MATN2"
"ITGA10"
"C10orf140"
