"Gene"
"HEYL"
"P2RY11"
"PFKFB4"
"ARHGAP19"
"MBOAT1"
"C1orf41"
"ENO2"
"GJC2"
"CNTLN"
"MYH11"
"TLN2"
"CDH13"
"PRKCH"
"SNX8"
"C10orf140"
"CDH3"
"ST6GAL1"
"LAMC2"
