"Gene"
"ARNT2"
"SDHALP1"
"GPR128"
"OSBPL9"
"NLGN1"
"U2AF1L2"
"METTL4"
"CCDC3"
"KIAA1199"
"RFX2"
"LDHC"
"CARS2"
"CPS1"
"SGTB"
"LOC253039"
"ZNF16"
"CPM"
"TDO2"
"MPPE1"
"CAND2"
"C3orf31"
"MAMDC2"
"FBXO46"
"P2RY11"
"ZNF609"
"PHYH"
"FAM131A"
"GPER"
"SERP2"
"DNAJC15"
"CCDC24"
"TRIOBP"
"KCTD12"
"DOK5"
"USP36"
"LOC400890"
"ADAM23"
"DCBLD2"
"RNF112"
"LOC442597"
"S100A3"
"UBE2E3"
"DENND2C"
"LOC728969"
"INPP5E"
"FILIP1"
"CHES1"
"IGFBP2"
"PIGZ"
"CYorf15B"
"OR2A1"
"TAGLN3"
"FCRLB"
"AHNAK"
"ADHFE1"
"LOC730102"
"PLCXD1"
"MAST4"
"LYZ"
"KIRREL"
"RPS26L"
"C14orf37"
"DTNBP1"
"PBX4"
"CCDC117"
"HSPB8"
"DNLZ"
"TTTY15"
"UPLP"
"GADD45G"
"MTHFD2"
"ITGAV"
"C15orf54"
"PLD6"
"IFI27L1"
"DECR2"
"SV2A"
"CHRNA9"
"GEM"
"LCTL"
"MMP9"
"STARD5"
"ELN"
"HNRPDL"
"LOC642477"
"EIF1AX"
"CXorf12"
"AGPAT9"
"LOC339535"
"NOTCH2NL"
"THSD1"
"NACC2"
"RNASET2"
"KCNMB1"
"S100A10"
"UBAP2L"
"C17orf82"
"LOC100128775"
"TNFSF12"
"C1orf71"
"PRDX2"
"FERMT1"
"APP"
"ZIC2"
"TRIB2"
"BMP2K"
"UCHL1"
"HTRA1"
"EEF1A2"
"PHACTR3"
"NRN1"
"ICK"
"C5orf30"
"LOC644928"
"DDIT4"
"MAP6"
"PAOX"
"RAD51"
"JARID1D"
"CES8"
"LOC645676"
"LOC400879"
"COTL1"
"MBOAT1"
"SP4"
"ELOVL4"
"GPR56"
"RPS6KA2"
"FGFRL1"
"GNB5"
"NAT15"
"ALDH7A1"
"OPN3"
"SLC2A5"
"LOC644584"
"COL3A1"
"SLAMF8"
"CLASP2"
"SEMA6C"
"LOC646753"
"CERKL"
"MOCOS"
"LOC650215"
"KIAA0913"
"LOC645381"
"LOC100130887"
"CAST"
"TMEM158"
"FGF13"
"CYP2U1"
"CYP4V2"
"LOC653924"
"AZIN1"
"RASL11B"
"FAM84B"
"HDHD1A"
"FLJ22662"
"HLA-C"
"KCNE4"
"SCNN1D"
"PIK3C2A"
"SDCBP2"
"CEBPG"
"C10orf35"
"CAPN2"
"PTGER4"
"ECM2"
"DDB2"
"FLJ39632"
"ERCC2"
"IARS"
"PCDH19"
"ALDH1B1"
"CDC42EP1"
"ITGB1BP1"
"PLEKHA2"
"CALD1"
"LOXL1"
"ZNF185"
"RUNX2"
"SRP9"
"FLJ22795"
"FBXO6"
"C9orf37"
"NCAM1"
"CD1C"
"SPARC"
"ZFY"
"ASAP2"
"TRNP1"
"NRCAM"
"WRB"
"C10orf140"
"TMC5"
"EIF1AY"
"TBX19"
"LOC113386"
"DKK3"
"CYorf14"
"LOC441150"
"THRA"
"LTC4S"
"RPS26"
"SEMA3B"
"SPG3A"
"PNPT1"
"INTS6"
"BEX5"
"COL6A3"
"FBLN2"
"LOC100133662"
"CYorf15A"
"HAND2"
"ADM2"
"TOMM34"
"FAM100A"
"C4orf33"
"RGS7"
"SCUBE2"
"PPPDE2"
"CARS"
"LOC642780"
"KDM5B"
"RPL14"
"ARSA"
"SIT1"
"PAX8"
"LOC645904"
"OSBPL3"
"OR2A9P"
"LOC255326"
"ESPNL"
"C10orf78"
"RRAGD"
"SMC6"
"FLRT3"
