"Gene"
"HEYL"
"PFKFB4"
"CYP1A1"
"GPATCH4"
"ARHGAP23"
"LOC650369"
"CPM"
"GREM2"
"SMOC2"
"CCL13"
"ZNF331"
"LIF"
"TMEM2"
"RHOU"
"KRT6A"
"ST6GAL1"
"MYH11"
"C3orf18"
"KRT6B"
"EFNA1"
"SDHALP1"
"PLCD3"
"CLPTM1"
"BNIP3"
"GPR128"
"KLK5"
"RABGEF1"
"CAND2"
"CRIP1"
"NUAK2"
"RPS15A"
"SLC2A5"
"ADAM19"
"SLC38A10"
"USP36"
"LAMC2"
"CDH3"
"MAMDC2"
"ZIC2"
"CYTL1"
"C4orf31"
"KRT17"
"ADAM23"
"IER3"
"UCN2"
"FAM60A"
"SFN"
"CCRN4L"
"CYFIP2"
"ARHGAP19"
"INPP5E"
"ITGB3"
"SERPINB5"
"ADRA2A"
"NR4A2"
"ASAP2"
"PLCD1"
"FKBP4"
"LOC644774"
"CDH1"
"NLGN1"
"FER1L4"
"LOC100127971"
"PELI1"
"C2orf24"
"AHNAK2"
"TMEM45A"
"FBXW8"
"HEY2"
"ETHE1"
"C20orf103"
"LGALS7B"
"ZNF385D"
"RUNX1T1"
"PDLIM4"
"FGF11"
"NTRK2"
"IKBIP"
"PDK3"
"KRT5"
"PRKAR1B"
"FKBP11"
"TNFSF12"
"KIAA1024"
"IL11"
"GPER"
"CAPG"
"SRPX2"
"AKIRIN1"
"PRKCH"
"HIF1A"
"NAALAD2"
"SLC45A3"
"GRINA"
"MTMR11"
"INO80C"
"BAIAP2L1"
"FBLN2"
"NAP1L5"
"RFFL"
"LAD1"
"LRRC32"
"PLCG2"
"CTNNB1"
"PKNOX2"
"DBC1"
"MYOM2"
"BMPER"
"LRRC45"
"LOC645233"
"C19orf33"
"C14orf78"
"COL7A1"
"SPCS3"
"MT1X"
"C1orf21"
"NEFL"
"RPL7L1"
"FAM13B"
"DNAJB11"
"AHNAK"
"PLOD1"
"ITGA5"
"VIPR1"
"CAMK1"
"ARHGEF10"
"B3GALNT1"
"NUDT9"
"PPP1R14C"
"KRT19"
"LOC113386"
"ATF3"
"NRN1"
"GALNT1"
"MT1E"
"ANKRD37"
"COL6A6"
"RAB12"
"NEFM"
"MT1H"
"EPN2"
"DLX3"
"MAFB"
"CRISPLD2"
"SOST"
"ITPRIP"
"KIAA1522"
"PLEKHG1"
"ANKRD6"
"SMA4"
"ADAL"
"MTP18"
"CLDN1"
"USP46"
"LOC131873"
"IL1B"
"KIAA1683"
"KCNE4"
"OSBPL9"
"CALML3"
"CAST"
"PRAME"
"LOC391656"
"CPS1"
"PFKFB3"
"DNAJB4"
"CIDEB"
"SLC39A14"
"STK32B"
"LOC93349"
"TSPAN8"
"SPAG4"
"SLC6A17"
"LOC731007"
"STAT4"
"HIST2H4A"
"AGRN"
"PXMP4"
"SNX21"
"ARF4"
"LOC100129599"
"STXBP2"
"MT1F"
"C11orf54"
"IFFO2"
"EIF4E3"
"PIGK"
"PPM1H"
"DTWD2"
"COL17A1"
"TMEM189-UBE2V1"
"PLOD2"
"S100A8"
"FLJ11235"
"FLJ33996"
"LOC100129502"
"CLEC2D"
"TINAGL1"
"SNX25"
"LOC644790"
"C7orf10"
"SLC14A1"
"GNA15"
"FARP1"
"MAPK13"
"CENPV"
"BAIAP2"
"C16orf30"
"LOC100134273"
"MTX3"
"ABHD15"
"TENC1"
"EBF2"
"TRIM5"
"SCRN1"
"MTRR"
"PDE2A"
"CBX7"
"MYLK4"
"CPT1A"
"RAI14"
"ZNF577"
"BEX1"
"DNAJB6"
"SNX15"
"CD70"
"EVC"
"LOC157627"
"AK3L1"
"ENC1"
"GLUD1"
"PBX3"
"PANK3"
