"Gene"
"ATP6V1H"
"SMOC2"
"TP53TG3"
"PHKA1"
"TMEM45A"
"UCN2"
"FBLN2"
"GJC2"
"COL7A1"
"CCDC136"
"MYLIP"
"WDR19"
"ALDH1A1"
"LOC729264"
"CD300E"
"FLJ41603"
"NAP1L5"
"LOC100133185"
"NET1"
"PDLIM4"
"CYTL1"
"F2RL1"
"GAP43"
"PDK3"
"ACOT4"
"LCE3D"
"WNT5B"
"LOC727929"
"STEAP4"
"CSRP2"
"KPRP"
"CCDC74B"
"IL18R1"
"CENPV"
"DSG2"
"LCE1C"
"ZFP64"
"NRG1"
"FLJ14213"
"EPDR1"
"LOC732165"
"IMMP1L"
"NDRG4"
"KIAA1324L"
"HS3ST2"
"CDH15"
"SOST"
"GLUL"
"C1orf21"
"PLEKHF1"
"GREM2"
"PLOD2"
"PLA2G2A"
"PTGDS"
"EMILIN2"
"FMO1"
"ZNF365"
"PTPLA"
"EBF1"
"LMO2"
"PFKFB4"
"TUBB2A"
"LOC644774"
"LOC399888"
"HYOU1"
"SMOC1"
"C4orf31"
"LOC284757"
