"Gene"
"SDHALP1"
"GPR128"
"NLGN1"
"CAND2"
"CCDC3"
"ARNT2"
"MAMDC2"
"ZNF16"
"PIGZ"
"CPM"
"GPER"
"CPS1"
"ZIC2"
"LOC728969"
"KCTD12"
"LOC442597"
"ATL1"
"SGTB"
"CYorf15B"
"TDO2"
"INPP5E"
"ADAM23"
"LYZ"
"ADHFE1"
"LCTL"
"LOC100128775"
"UCHL1"
"AHNAK"
"LOC653110"
"GPATCH4"
"USP36"
"FAM131A"
"SPG3A"
"C14orf37"
"U2AF1L2"
"LOC100130887"
"DCBLD2"
"OR2A1"
"MMP9"
"RAVER2"
"BEX5"
"KCNMB1"
"LOC113386"
"C10orf140"
"CARS2"
"CPA4"
"C15orf54"
"TNFSF12"
"LOC253039"
"FERMT1"
"FLJ22662"
"PLCXD1"
"CHRNA9"
"LOC645676"
"GNB5"
"RPS26L"
"SLC2A5"
"SKAP2"
"LOC653924"
"TRIOBP"
"RNF112"
"ZFP64"
"SEMA3B"
"LDHC"
"HLA-C"
"SMG7"
"C17orf97"
"LOC646753"
"C1orf53"
"REPS2"
"KIRREL"
"CD1C"
"ERCC2"
"SYCE1"
"FILIP1"
"DOK5"
"SV2A"
